category,category_description,item_name,item_description,price,size1,price1,size2,price2,size3,price3,size4,price4
Burritos,,Burritos Mexicanos,"Two burritos with your choice of one meat, cooked with onions and bell peppers. Topped with cheese dip, lettuce, sour cream and tomato.",,Chicken,$15,Steak,$16,Shrimp,$17,,
Burritos,,Mucho Grande Burrito,"Your choice of meat with grilled mushrooms, onions and tomatoes rolled in a big flour tortilla, topped with cheese dip, ranchero sauce, lettuce, pico de gallo and tomatoes.",,Chicken,$14,Steak,$15,Shrimp,$16,,
Burritos,,Maria's Burrito,"Choice of protein, stuffed with rice, black beans, pico de gallo and cheese sauce, topped with salsa verde, pickled onions, Cotija cheese and crema.",,Chicken,$15,Steak,$16,Carnitas,$15,Pastor,$15
Burritos,,Macho Burrito,"Grilled chicken, poblano peppers, onion, cheese, black beans and rice topped with sweet agave nectar chipotle salsa.",,Chicken,$15,Steak,$16,,,,
Fajitas,"All fajitas are grilled to perfection with onions and bell peppers served with rice, and your choice of black or refried beans, lettuce, sour cream, shredded cheese and tortillas. Add guacamole for mkts.",Chicken Fajitas,,$16.00,,,,,,,,
Fajitas,"All fajitas are grilled to perfection with onions and bell peppers served with rice, and your choice of black or refried beans, lettuce, sour cream, shredded cheese and tortillas. Add guacamole for mkts.",Steak Fajitas,,$17.00,,,,,,,,
Fajitas,"All fajitas are grilled to perfection with onions and bell peppers served with rice, and your choice of black or refried beans, lettuce, sour cream, shredded cheese and tortillas. Add guacamole for mkts.",Shrimp Fajitas,,$18.00,,,,,,,,
Fajitas,"All fajitas are grilled to perfection with onions and bell peppers served with rice, and your choice of black or refried beans, lettuce, sour cream, shredded cheese and tortillas. Add guacamole for mkts.",Trio Fajitas,"Chicken, steak and shrimp.",$20.00,,,,,,,,
Fajitas,"All fajitas are grilled to perfection with onions and bell peppers served with rice, and your choice of black or refried beans, lettuce, sour cream, shredded cheese and tortillas. Add guacamole for mkts.",Maria's Fajitas,"Chicken, steak, shrimp, pork and Mexican sausage.",$22.00,,,,,,,,
Fajitas,"All fajitas are grilled to perfection with onions and bell peppers served with rice, and your choice of black or refried beans, lettuce, sour cream, shredded cheese and tortillas. Add guacamole for mkts.",Veggie Fajitas,"Onions, green and red bell peppers, mushrooms, zucchini, squash, broccoli, cauliflower and spinach.",$14,,,,,,,,
Carnes,,Steak Ranchero,"Grilled rib-eye steak cooked with onions and bell peppers. Served with rice, refried or black beans, and salad.",$18.50,,,,,,,,
Carnes,,Steak Mexicano,"Chopped rib-eye cooked with onions, tomatoes and jalapeño peppers. Served with rice and your choice of refried or black beans.",$18.50,,,,,,,,
Carnes,,Steak Jalisco,"Rib-eye steak cooked with mushrooms and onions, topped with cheese dip and ranchero sauce. Served with rice and beans.",$18.50,,,,,,,,
Carnes,,Carne Asada,Grilled skirt steak topped with green onions. Served with refried or black beans and guacamole salad.,$18.50,,,,,,,,
Carnes,,Carnitas,"Pork chunks served with rice, refried or black beans, and guacamole salad.",$17,,,,,,,,
Carnes,,Chile Verde,Pork carnitas cooked in green sauce. Served with rice and refried or black beans.,$17,,,,,,,,
Carnes,,Chile Colorado,Chopped steak cooked in red sauce. Served with rice and refried or black beans.,$18,,,,,,,,
Quesadillas,,Cheese Quesadilla,,$5.50,,,,,,,,
Quesadillas,,Fajitas Quesadilla,10 inch flour tortilla stuffed with your choice of meat cooked with bell peppers and onions. Served with rice and salad.,,Chicken,$15,Steak,$16,Shrimp,$17,,
Quesadillas,,Quesadilla Rellena,"Choice of one topping: ground beef, shredded chicken, shredded beef or pork. Served with your choice of rice, refried or black beans.",$11.50,,,,,,,,
Tacos,,Classic Tacos,"Choice of hard or soft tortilla, ground beef or shredded chicken, lettuce and cheese.",,(1),$3.25,(3),$8.75,,,,
Tacos,,Street Tacos,"Choice of grilled chicken, steak, pastor, chorizo or carnitas. Served with onions, cilantro and lime.",,(1),$5,(3),$14,,,,
Tacos,,Fish Tacos,"Flour tortilla, choice of fried or grilled tilapia, topped with red cabbage, pico de gallo and chipotle cream sauce.",,(1),$5.50,(3),$15.50,,,,
Tacos,,Shrimp Tacos,"Flour tortilla, grilled shrimp, topped with red cabbage, pico de gallo and chipotle cream sauce.",,(1),$5.75,(3),$16.25,,,,
